day_succ,Status,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,curr1,curr2,curr3,curr4,curr5,curr6,goal,backers,pledged,duration,updates,comments,rewards,facebook_connected,facebook_friends,facebook_shares,has_video,creator_projects_created,creator_projects_backed,videos,images,words_description,words_risks_and_challenges,faqs,prj_prom,crt_suc_perc,usr_net_pg_rnk,usr_net_nodes,usr_net_tie,usr_net_bic,1f_plg,1f_bck,1prj_prom,2f_plg,2f_bck,2prj_prom,3f_plg,3f_bck,3prj_prom
28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.0343106403,-0.2006402841,-0.1328500497,-0.1404980359,-0.0672558945,-0.0632170388,-0.1786105903,1,0.4538920195,-0.0492335104,1,-0.2044518859,0,0.8838742446,-0.5752360454,-0.3241101002,-0.4287007473,-0.3321085911,-0.2796828347,-0.5154235036,0.0794746134,-0.2125893098,-0.2697063791,-0.0781132405,0.047064753,-0.1723029175,-0.2650492466,0.0583603522,-0.1675005349,-0.2808881387,0.0017885782,-0.169264884,0.5803953381
40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0218009643,-0.2053749103,-0.1261453641,0.8536089463,-0.6087247018,-0.0632170388,-0.5180823494,1,-0.5445713352,-0.1265478357,1,0.5821824516,-0.219981494,-0.2572658087,-0.672638512,-0.3842111258,-0.7479289222,-0.3321085911,0,-0.5154235036,0,0,0,0,-0.3134528488,-0.179145146,0,-0.3195931345,-0.1725177892,0,-0.324428611,-0.169264884,0
30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.0204841563,-0.2132659539,-0.1395419887,-0.1404980359,-0.6087247018,-0.0632170388,2.3674276028,1,0.3098695661,-0.1387140493,1,-0.2044518859,0,-0.2572658087,-0.672638512,-0.5902717852,-0.9126918511,-0.3321085911,0,-0.5154235036,0,0,0,0,-0.3134528488,-0.1586184604,0,-0.3195931345,-0.1624832805,0,-0.324428611,-0.1650130579,0
35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0283850043,-0.1943274492,-0.1077393451,0.3565554552,0.1132337079,-0.0632170388,0.8398046869,1,-0.185900033,-0.0676790601,0,-0.2044518859,-0.0530159276,4.3072944046,3.6130700206,-0.5284535874,-0.3669146489,-0.3321085911,-0.0640174146,2.1658445239,2.8675195584,-0.036545629,-0.0533777269,0.1046965979,-0.2970656851,-0.1517762319,-0.2650492466,-0.306994685,-0.1524487719,-0.2808881387,-0.3026807984,-0.1437539275,-0.2587522448
30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.0316770243,-0.2132659539,-0.1401155835,-0.1404980359,-0.6087247018,-0.0632170388,-0.6878182289,1,-0.2135966587,-0.1559822235,1,-0.2044518859,-0.219981494,-0.2572658087,-0.3804311121,-0.7877465837,-0.9435849003,-0.3321085911,0,-0.5154235036,0,0,0,0,-0.3134528488,-0.179145146,0,-0.3195931345,-0.1725177892,0,-0.324428611,-0.1650130579,0
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-0.0342777201,-0.1643414835,-0.1306194033,-0.1404980359,-0.6087247018,-0.0557113157,-0.3483464699,1,0.1090690302,-0.1261553772,1,-0.2044518859,-0.219981494,-0.2572658087,-0.672638512,-0.6040091625,-0.9229895342,0.1561768582,0,-0.5154235036,0,0,0,0,0.391195191,-0.1312495463,0,0.2473370956,-0.1373970089,0,0.1648971728,-0.1437539275,0
16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0185089443,0.257040246,0.1543934665,-1.4328371129,0.4742129128,-0.0557113157,1.0095405665,1,0.8028695028,0.1725055443,1,-0.2044518859,-0.1086711164,-0.2572658087,-0.5752360454,0.2030617534,1.6205381817,1.6210332059,3.1709638869,2.1658445239,2.8675195584,3.484327987,2.9752234032,2.8468441742,-0.1659683754,0.0124372526,3.1091185769,-0.1432148407,0.0532586551,1.7322269706,-0.1286982975,0.0560818987,2.258690504
19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0112665003,0.5063972245,0.2117656905,-0.1404980359,0.8351921176,-0.0031712541,2.1976917232,1,-0.2371387905,0.2474651185,1,0.9754996204,0.1139496387,-0.2572658087,-0.0882237121,0.5035668816,1.1159517118,0.1561768582,0.0078710587,0,0.0794746134,0.3155417326,0.0908413745,0.1046965979,0.1453877353,0.3134953076,-0.2650492466,0.1591479487,0.3392421512,-0.2808881387,0.1757710791,0.3494578987,-0.2587522448
14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0292804337,0.0376692333,-0.081341239,-0.8363729235,-0.4282350994,-0.061340608,-0.5180823494,1,3.8688859625,0.349896788,1,0.1888652828,0.2252600163,-0.2572658087,-0.5752360454,-0.7568374848,-0.7273335561,-0.3321085911,0.5110903723,-0.5154235036,0.0794746134,0.7556509346,0.4513891281,0.2875064363,-0.1987427028,-0.0696694896,0.5784927093,-0.1810101894,-0.0671554485,0.725669416,-0.1613200164,-0.0672210579,-0.2587522448
28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.0297018123,-0.1280426828,-0.0867712695,0.1577340587,-0.6087247018,-0.061340608,-0.5180823494,1,0.5979144729,0.0940138435,1,0.5821824516,-0.1086711164,-0.2572658087,-0.672638512,-0.5507768255,-0.377212332,-0.3321085911,-0.2796828347,-0.5154235036,0.0794746134,-0.2125893098,-0.3418159298,-0.2609230789,-0.2806785214,-0.1586184604,-0.2650492466,-0.105419492,-0.1474315176,-0.2808881387,-0.1286982975,-0.1437539275,0.5803953381
